Year,1 CZK,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,1 EUR,1 GBP,1 HKD,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,1 PLN,1 RON,1 SEK,1 SGD,100 THB,1 TRY,1 USD,1 XDR,1 ZAR
2018,1,16.21,13.13,5.94,16.74,22.3,3.29,3.44,25.68,28.98,2.78,8.03,1.53,6.04,31.82,20.24,19.75,1.98,1.13,5.39,2.67,15.02,41.33,6.02,5.51,2.5,16.14,67.44,4.62,21.78,30.81,1.65
2019,1,15.96,13.12,5.81,17.32,23.1,3.32,3.44,25.66,29.31,2.93,7.88,1.62,6.46,32.58,18.75,21.05,1.97,1.19,5.54,2.61,15.13,44.47,5.97,5.4,2.42,16.82,74.25,4.04,22.93,31.67,1.59
2020,1,16.0,13.55,4.46,17.23,24.74,3.36,3.55,26.5,29.8,2.98,7.49,1.59,6.76,31.24,17.11,21.76,1.96,1.08,5.51,2.46,15.07,46.7,5.93,5.47,2.53,16.79,73.85,3.29,23.14,32.25,1.4
2021,1,16.26,13.11,4.03,17.33,23.76,3.37,3.45,25.65,29.88,2.79,7.15,1.52,6.73,29.38,17.18,19.69,1.89,1.07,5.25,2.52,15.32,43.99,5.61,5.21,2.53,16.17,67.75,2.44,21.72,30.91,1.46
2022,1,16.21,12.55,4.55,17.93,24.51,3.47,3.3,24.54,28.72,2.99,6.26,1.57,6.93,29.69,17.31,17.79,1.81,1.17,5.31,2.43,14.79,42.92,5.24,4.97,2.3,16.97,66.68,1.42,23.41,31.21,1.43
2023,1,14.67,12.26,4.45,16.4,24.69,3.12,3.22,23.97,27.59,2.83,6.3,1.46,5.97,26.8,16.16,15.67,1.69,1.26,4.85,2.09,13.57,39.82,5.31,4.84,2.09,16.49,63.56,0.94,22.14,29.54,1.2
2024,1,15.31,12.86,4.29,16.96,26.4,3.24,3.37,25.16,29.78,2.98,6.34,1.47,6.32,27.8,16.89,15.35,1.7,1.26,5.11,2.16,14.03,40.55,5.85,5.06,2.2,17.41,66.21,70.48,23.28,30.87,1.27
