Year,1 CZK,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,1 EUR,1 GBP,1 HKD,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,1 PLN,1 RON,1 SEK,1 SGD,100 THB,1 TRY,1 USD,1 XDR,1 ZAR
2018,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,25.68,28.98,2.78,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,6.02,1 RON,1 SEK,1 SGD,100 THB,1 TRY,21.78,1 XDR,1 ZAR
2019,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,25.66,29.31,2.93,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,5.97,1 RON,1 SEK,1 SGD,100 THB,1 TRY,22.93,1 XDR,1 ZAR
2020,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,26.50,29.80,2.98,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,5.93,1 RON,1 SEK,1 SGD,100 THB,1 TRY,23.14,1 XDR,1 ZAR
2021,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,25.65,29.88,2.79,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,5.61,1 RON,1 SEK,1 SGD,100 THB,1 TRY,21.72,1 XDR,1 ZAR
2022,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,24.54,28.72,2.99,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,5.24,1 RON,1 SEK,1 SGD,100 THB,1 TRY,23.41,1 XDR,1 ZAR
2023,1.00,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,23.97,27.59,2.83,100 HUF,1000 IDR,1 ILS,100 INR,100 ISK,100 JPY,100 KRW,1 MXN,1 MYR,1 NOK,1 NZD,100 PHP,5.31,1 RON,1 SEK,1 SGD,100 THB,1 TRY,22.14,1 XDR,1 ZAR
