Change Date,Old,New,New Company Name
2021-03-09,PICO,VWTR,Vidler Water Resources Inc
2021-03-10,NK,IBRX,Immunitybio Inc
2021-03-10,EUSGU,ADSE,Ads-tec Energy Public Ltd Co.
2021-03-11,SLCRU,THCH,Th International Ltd.
2021-03-15,AESUU,AESC,Aes Corp
2021-03-15,IPV,AEVA,Aeva Technologies Inc
2021-03-15,CLA,OUST,Ouster Inc
2021-03-15,GMIIU,SOND,Sonder Holdings Inc
2021-03-15,GMBTU,SWVL,Swvl Holdings Corp
2021-03-16,WIZP,MIGI,Mawson Infrastructure Group Inc
2021-03-16,VOSOU,WEJO,Wejo Group Ltd.
2021-03-17,MCADU,BTTX,Better Therapeutics Inc
2021-03-17,ANCN,CMMB,Chemomab Therapeutics Ltd.
2021-03-18,ROCH,PCT,Purecycle Technologies Inc
2021-03-19,CAHCU,LMDX,Lumiradx Ltd.
2021-03-22,BASI,NOTV,Inotiv Inc
2021-03-22,MIT.U,MIT,Mason Industrial Technology Inc
2021-03-22,LOAC,LBPS,4d Pharma PLC
2021-03-23,JE,JENGQ,Just Energy Group Inc
2021-03-23,NBAC,NVVE,Nuvve Holding Corp
2021-03-24,ITHXU,MOND,Mondee Holdings Inc
2021-03-25,CIIC,ARVL,Arrival
2021-03-25,GCACU,CPTN,Cepton Inc
2021-03-25,SJIIU,SJIV,South Jersey Industries Inc
2021-03-26,NTN,ERNA,Eterna Therapeutics Inc
2021-03-26,GEN,GENN,Genesis Healthcare Inc
2021-03-26,CFFVU,SATL,Satellogic Inc
2021-03-29,ATMR.U,FATH,Fathom Digital Manufacturing Corp
2021-03-29,NXU.U,NRGV,Energy Vault Holdings Inc
2021-03-30,MATN,OTLC,Oncotelic Therapeutics Inc
2021-03-31,ROCRU,QTEK,Qualtek Services Inc
2021-03-31,BFT,PSFE,Paysafe Ltd.
2021-03-31,CGIX,VYNT,Vyant Bio Inc
2021-03-31,SONA,FRST,Primis Financial Corp
2021-03-31,THMAU,PEAR,Pear Therapeutics Inc
2021-04-01,SPAQ.U,ALLG,Allego Nv
2021-04-01,CENHU,ARQQ,Arqit Quantum Inc
2021-04-01,KURIU,BBLN,Babylon Holdings Ltd.
2021-04-01,DCRNU,DCFC,Tritium Dcfc Ltd.
2021-04-01,SNE,SONY,Sony Group Corp
2021-04-05,GIGGU,BBAI,Bigbearai Holdings Inc
2021-04-05,NSCO,CTOS,Custom Truck One Source Inc
2021-04-05,IACB.U,CTV,Innovid Corp
2021-04-05,RPLA,FOA,Finance Of America Companies Inc
2021-04-06,TCACU,SBIG,Springbig Holdings Inc
2021-04-06,FOREU,PIII,P3 Health Partners Inc
2021-04-06,BOAS.U,SLNA,Selina Hospitality PLC
2021-04-06,ENNVU,FSRD,Fast Radius Inc
2021-04-06,CGRO,INVZ,Innoviz Technologies Ltd.
2021-04-07,NPA,ASTS,Ast Spacemobile Inc
2021-04-08,XPDIU,CORZ,Core Scientific Inc
2021-04-09,ETM,AUD,Audacy Inc
2021-04-13,BRPMU,FAZE,Faze Holdings Inc
2021-04-14,CFVIU,RUM,Rumble Inc
2021-04-14,ASPCU,STIX,Semantix Inc
2021-04-19,USAT,CTLP,Cantaloupe Inc
2021-04-19,SRNGU,DNA,Ginkgo Bioworks Holdings Inc
2021-04-19,LIII.U,LOCL,Local Bounti Corporation
2021-04-19,AKER,MYMD,Mymd Pharmaceuticals Inc
2021-04-19,KCAC.U,WBX,Wallbox Nv
2021-04-20,WBAI,BTCM,Bit Mining Ltd.
2021-04-20,MACQU,ADTH,Adtheorent Holding Company Inc
2021-04-21,DMYD,GENI,Genius Sports Ltd.
2021-04-21,EJFAU,PGY,Pagaya Technologies Ltd.
2021-04-21,ISOS.U,BOWL,Bowlero Corp
2021-04-22,CPST,CGRN,Capstone Green Energy Corp
2021-04-22,SNII.U,RGTI,Rigetti Computing Inc
2021-04-23,AGLY,AGTI,Agiliti Inc
2021-04-23,CMIIU,SLGC,Somalogic Inc
2021-04-26,VPCC.U,DAVE,Dave Inc
2021-04-26,TWNT.U,LLAP,Terran Orbital Corp
2021-04-26,DMYQ.U,PL,Planet Labs Pbc
2021-04-27,CHFS,NUWE,Nuwellis Inc
2021-04-28,HYACU,BTMD,Biote Corp
2021-04-28,SNCA,PALI,Palisade Bio Inc
2021-04-29,STPK,STEM,Stem Inc
2021-04-30,MWK,ATER,Aterian Inc
2021-05-03,SBEAU,BRCC,Brc Inc
2021-05-03,GTXMQ,GTX,Garrett Motion Inc
2021-05-06,VSPR,SKIN,Beauty Health Co.
2021-05-06,GSX,GOTU,Gaotu Techedu Inc
2021-05-07,ATHN.U,HLGN,Heliogen Inc
2021-05-07,NGA,LEV,Lion Electric Co.
2021-05-07,GIK,ZEV,Lightning Emotors Inc
2021-05-10,RTPYU,AUR,Aurora Innovation Inc
2021-05-10,EXPC,BLDE,Blade Air Mobility Inc
2021-05-13,VGII.U,GROV,Grove Collaborative Holdings Inc
2021-05-17,KSICU,KSI,Kadem Sustainable Impact Corp
2021-05-17,SAFO,SVFD,Save Foods Inc
2021-05-18,LCAHU,LCA,Landcadia Holdings Iv Inc
2021-05-18,GGPIU,PSNY,Polestar Automotive Holding Uk PLC
2021-05-18,DCRCU,SLDP,Solid Power Inc
2021-05-19,NGCAU,VORB,Virgin Orbit Holdings Inc
2021-05-20,LLIT,NEGG,Newegg Commerce Inc
2021-05-20,ATAC,OWL,Blue Owl Capital Inc
2021-05-24,PLT,POLY,Plantronics Inc
2021-05-24,ACTDU,OPAL,Opal Fuels Inc
2021-05-24,AMAR,AIMD,Ainos Inc
2021-05-24,NWIN,FNWD,Finward Bancorp
2021-05-25,BRPA,NRXP,Nrx Pharmaceuticals Inc
2021-06-01,ADF.U,HGTY,Hagerty Inc
2021-06-01,IPOE,SOFI,Sofi Technologies Inc
2021-06-02,STIC,BARK,Bark Inc
2021-06-03,CMLTU,EQRX,Eqrx Inc
2021-06-03,OGN.W,OGN,Organon & Co.
2021-06-04,JWS,CANO,Cano Health Inc
2021-06-07,TSIA,LTCH,Latch Inc
2021-06-08,JIH,JBI,Janus International Group Inc
2021-06-08,BSPE,VWE,Vintage Wine Estates Inc
2021-06-09,DFHT,CMAX,Caremax Inc
2021-06-10,ARYA,NAUT,Nautilus Biotechnology Inc
2021-06-10,GIX,UPH,Uphealth Inc
2021-06-10,FSRV,KPLT,Katapult Holdings Inc
2021-06-11,THBR,INDI,Indie Semiconductor Inc
2021-06-11,CAPA,QSI,Quantum-si Inc
2021-06-11,TOT,TTE,Totalenergies Se
2021-06-12,CLNY,DBRG,Digitalbridge Group Inc
2021-06-14,CCX,SKIL,Skillsoft Corp
2021-06-15,TKAYY,JTKWY,Just Eat Takeawaycom Nv
2021-06-15,SVMK,MNTV,Momentive Global Inc
2021-06-15,ACTC,PTRA,Proterra Inc
2021-06-16,OBLN,RSLS,Reshape Lifesciences Inc
2021-06-16,MYT,BTB,Bit Brother Ltd.
2021-06-16,SSPK,MAPS,Wm Technology Inc
2021-06-17,FAII,ATIP,Ati Physical Therapy Inc
2021-06-17,GRMM,GROM,Grom Social Enterprises Inc
2021-06-17,VGAC,ME,23andme Holding Co.
2021-06-21,SYX,GIC,Global Industrial Co.
2021-06-22,ACAC,MYPS,Playstudios Inc
2021-06-22,CRSA,LVOX,Livevox Holdings Inc
2021-06-23,HEC,TALK,Talkspace Inc
2021-06-25,CLNC,BRSP,Brightspire Capital Inc
2021-06-25,FTIV,PWP,Perella Weinberg Partners
2021-06-25,AACQ,ORGN,Origin Materials Inc
2021-06-28,MLND,TPST,Tempest Therapeutics Inc
2021-06-28,TUGCU,SAI,Saitech Global Corp
2021-06-28,FTOC,PAYO,Payoneer Global Inc
2021-06-28,TRCH,MMAT,Meta Materials Inc
2021-06-28,FIII,ELMSQ,Electric Last Mile Solutions Inc
2021-06-28,FRX,BODY,Beachbody Company Inc
2021-06-28,FIIIW,ELMWQ,Electric Last Mile Solutions Inc
2021-06-29,AHC,DALN,Dallasnews Corp
2021-06-29,TBA,IS,Ironsource Ltd.
